323984520,205411,199191,216535,187611,233905,116993,178025,224643,170492,204832,206041,192475,226294,152477,197382,219857,141489,219222,233024,156920,32967,115270,-759762,-8388607,1,2574,2577,2571,698,2471,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984521,205017,198797,215892,187807,233264,116682,177451,224593,170071,204743,206074,192677,226068,152511,197135,220239,141335,218945,232459,157029,33702,115854,-759604,-8388607,1,2573,2580,2571,692,2473,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984522,204782,198543,215789,188304,232738,116244,177422,224593,169852,204723,206057,192982,226234,152677,196976,220703,141520,219204,231989,157722,33193,116426,-759724,-8388607,1,2572,2575,2574,694,2475,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984523,204828,198479,215707,188170,232902,116329,177464,224924,169781,204764,205912,193269,226385,152736,196919,220982,141360,219189,231886,157862,32149,116320,-759579,-8388607,1,2569,2574,2573,692,2475,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984524,204489,198294,215453,188302,232416,115957,177408,224909,169494,204904,206041,193543,226284,152758,196916,221461,141445,219251,231516,158025,31797,116888,-759836,-8388607,1,2570,2578,2575,691,2478,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984525,204125,198081,215157,188794,231897,115518,177353,225124,169109,204937,205918,194052,226286,152871,196736,222255,141399,219152,230846,159017,30422,117215,-759861,-8388607,1,2577,2575,2580,692,2472,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984526,204400,198109,215620,188386,232598,115992,177956,224954,169413,204834,205734,193619,226516,152899,196831,221782,141571,219221,231406,158954,29501,116705,-759986,-8388607,1,2574,2573,2584,694,2471,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984527,204647,198566,215846,188162,232972,116352,178141,224929,169632,204791,205848,193161,226328,152927,197263,221324,141653,219196,231839,158320,30104,116238,-759892,-8388607,1,2574,2575,2576,692,2474,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984528,204812,198606,215987,188084,233031,116467,178086,224860,169720,204805,206100,193211,226671,152875,197285,221107,141500,219197,232017,157993,31022,116115,-759761,-8388607,1,2574,2573,2574,696,2474,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
323984529,204989,198984,216118,187902,233212,116621,178228,224868,170031,204818,206044,192933,226418,152787,197225,220905,141616,219396,232288,157782,31316,115887,-759707,-8388607,1,2573,2578,2574,698,2469,-10110976,1,1,15,1,100.000000,0.000000,0.000000,
